iter	Passed	Remaining
637	3393	1925
638	3398	1919
639	3403	1914
640	3407	1908
641	3412	1902
642	3416	1897
643	3421	1891
644	3426	1885
645	3430	1879
646	3435	1874
647	3442	1869
648	3446	1864
649	3452	1858
650	3457	1853
651	3462	1848
652	3468	1842
653	3472	1837
654	3478	1831
655	3483	1826
656	3488	1821
657	3494	1816
658	3499	1811
659	3504	1805
660	3510	1800
661	3515	1794
662	3519	1788
663	3524	1783
664	3531	1778
665	3536	1773
666	3541	1768
667	3546	1762
668	3551	1757
669	3556	1751
670	3561	1746
671	3566	1740
672	3571	1735
673	3577	1730
674	3582	1724
675	3587	1719
676	3592	1714
677	3597	1708
678	3601	1702
679	3606	1697
680	3611	1691
681	3616	1686
682	3621	1680
683	3626	1675
684	3630	1669
685	3635	1664
686	3640	1658
687	3645	1653
688	3650	1647
689	3656	1642
690	3661	1637
691	3666	1631
692	3671	1626
693	3676	1620
694	3680	1615
695	3686	1610
696	3691	1604
697	3697	1599
698	3702	1594
699	3706	1588
700	3711	1583
701	3717	1577
702	3722	1572
703	3728	1567
704	3733	1562
705	3738	1556
706	3743	1551
707	3748	1546
708	3754	1540
709	3759	1535
710	3764	1529
711	3768	1524
712	3773	1518
713	3777	1513
714	3782	1507
715	3787	1502
716	3791	1496
717	3796	1491
718	3800	1485
719	3805	1480
720	3810	1474
721	3814	1468
722	3820	1463
723	3824	1458
724	3829	1452
725	3833	1446
726	3838	1441
727	3843	1436
728	3848	1430
729	3853	1425
730	3858	1419
731	3863	1414
732	3868	1408
733	3873	1403
734	3879	1398
735	3883	1393
736	3888	1387
737	3893	1382
738	3899	1377
739	3904	1371
740	3908	1366
741	3913	1360
742	3919	1355
743	3923	1349
744	3928	1344
745	3933	1339
746	3938	1333
747	3943	1328
748	3948	1323
749	3953	1317
750	3958	1312
751	3964	1307
752	3969	1301
753	3974	1296
754	3979	1291
755	3984	1285
756	3989	1280
757	3994	1275
758	3999	1269
759	4004	1264
760	4010	1259
761	4016	1254
762	4021	1249
763	4030	1244
764	4035	1239
765	4041	1234
766	4046	1229
767	4052	1224
768	4057	1218
769	4062	1213
770	4067	1208
771	4072	1202
772	4078	1197
773	4084	1192
774	4089	1187
775	4094	1181
776	4100	1176
777	4105	1171
778	4110	1166
779	4115	1160
780	4120	1155
781	4125	1150
782	4131	1144
783	4135	1139
784	4140	1134
785	4147	1129
786	4151	1123
787	4157	1118
788	4162	1113
789	4166	1107
790	4171	1102
791	4178	1097
792	4183	1092
793	4188	1086
794	4193	1081
795	4199	1076
796	4204	1070
797	4209	1065
798	4214	1060
799	4218	1054
800	4227	1050
801	4232	1044
802	4237	1039
803	4242	1034
804	4247	1028
805	4253	1023
806	4258	1018
807	4263	1013
808	4268	1007
809	4274	1002
810	4279	997
811	4285	992
812	4290	986
813	4296	981
814	4301	976
815	4306	971
816	4312	965
817	4319	960
818	4324	955
819	4329	950
820	4333	944
821	4338	939
822	4343	934
823	4348	928
824	4353	923
825	4358	918
826	4364	913
827	4369	907
828	4374	902
829	4380	897
830	4385	891
831	4389	886
832	4395	881
833	4403	876
834	4408	871
835	4413	865
836	4418	860
837	4423	855
838	4428	849
839	4433	844
840	4438	839
841	4443	833
842	4447	828
843	4452	823
844	4457	817
845	4462	812
846	4467	806
847	4472	801
848	4478	796
849	4483	791
850	4488	785
851	4493	780
852	4498	775
853	4505	770
854	4512	765
855	4517	759
856	4522	754
857	4527	749
858	4532	743
859	4537	738
860	4541	733
861	4546	727
862	4551	722
863	4556	717
864	4561	711
865	4567	706
866	4572	701
867	4577	696
868	4582	690
869	4587	685
870	4592	680
871	4597	674
872	4602	669
873	4606	664
874	4611	658
875	4617	653
876	4621	648
877	4626	642
878	4632	637
879	4636	632
880	4642	627
881	4647	621
882	4652	616
883	4658	611
884	4663	605
885	4668	600
886	4673	595
887	4678	590
888	4683	584
889	4688	579
890	4694	574
891	4699	568
892	4704	563
893	4709	558
894	4714	553
895	4720	547
896	4725	542
897	4730	537
898	4736	532
899	4741	526
900	4746	521
901	4751	516
902	4756	510
903	4760	505
904	4766	500
905	4771	495
906	4775	489
907	4780	484
908	4785	479
909	4790	473
910	4794	468
911	4800	463
912	4806	457
913	4811	452
914	4816	447
915	4821	442
916	4825	436
917	4831	431
918	4838	426
919	4844	421
920	4849	415
921	4854	410
922	4860	405
923	4865	400
924	4871	395
925	4877	389
926	4883	384
927	4888	379
928	4894	374
929	4898	368
930	4904	363
931	4910	358
932	4914	352
933	4920	347
934	4925	342
935	4930	337
936	4935	331
937	4940	326
938	4945	321
939	4951	316
940	4956	310
941	4961	305
942	4967	300
943	4973	295
944	4978	289
945	4983	284
946	4988	279
947	4993	273
948	4999	268
949	5004	263
950	5009	258
951	5015	252
952	5020	247
953	5025	242
954	5031	237
955	5036	231
956	5041	226
957	5046	221
958	5052	216
959	5058	210
960	5063	205
961	5069	200
962	5075	195
963	5080	189
964	5085	184
965	5090	179
966	5095	173
967	5100	168
968	5105	163
969	5111	158
970	5116	152
971	5121	147
972	5126	142
973	5131	136
974	5136	131
975	5141	126
976	5146	121
977	5152	115
978	5158	110
979	5163	105
980	5168	100
981	5173	94
982	5178	89
983	5183	84
984	5189	79
985	5195	73
986	5200	68
987	5204	63
988	5211	57
989	5216	52
990	5221	47
991	5226	42
992	5230	36
993	5235	31
994	5240	26
995	5245	21
996	5250	15
997	5255	10
998	5260	5
999	5265	0
